Authors,Article Title,Source Title,Publication Year,DOI,n_taxa,class,order,market_type,overexploitation_focus,market_price_lower,market_price_upper,currency_unit,longitudinal_price,abundance,abundance_metric,described_rare,rarity_category,price_abundance_link,evidence_aae
"Prakash, S; Kumar, TTA; Raghavan, R; Rhyne, A; Tlusty, MF; Subramoniam, T",Marine aquarium trade in India: Challenges and opportunities for conservation and policy,MARINE POLICY,2017,10.1016/j.marpol.2016.12.020,87,actinopterygii,"perciformes,tetradoniformes,scorpaeniformes,labriformes,kurtiformes,acanthuriformes,gobiiformes,blenniformes,holocentriformes,moroniformes,siluriformes",pet,1,1.63,33.67,USD,0,1,conservation,1,threat,0,NA
"Nijman, V; Bergin, D","Trade in spur-thighed tortoises Testudo graeca in Morocco: volumes, value and variation between markets",AMPHIBIA-REPTILIA,2017,10.1163/15685381-00003109,1,reptilia,testudines,pet,1,1,56,USD,0,1,volume,1,threat,0,NA
"Nijman, V; Bergin, D",Reptiles traded in markets for medicinal purposes in contemporary Morocco,CONTRIBUTIONS TO ZOOLOGY,2017,NA,6,reptilia,"testuidnes,squamata,serpentes,crocodilia","pet,medicinal",1,6,665,USD,0,1,volume,1,threat,0,NA
"Nijman, V; Oo, H; Shwe, NM","Assessing the Illegal Bear Trade in Myanmar Through Conversations With Poachers: Topology, Perceptions, and Trade Links to China",HUMAN DIMENSIONS OF WILDLIFE,2017,10.1080/10871209.2017.1263768,2,mammalia,carnivora,"medicinal,food",1,5.19,2980.4,USD,0,1,pop_trend,1,"threat,pop_trend",0,NA
"Vall-Llosera, M; Cassey, P","Physical attractiveness, constraints to the trade and handling requirements drive the variation in species availability in the Australian cagebird trade",ECOLOGICAL ECONOMICS,2017,10.1016/j.ecolecon.2016.07.015,357,aves,"anseriformes,galliformes,gruiformes,charadriiformes,columbiformes,coraciiformes,psittaciformes,passeriformes",pet,1,3,12500,AUD,0,1,volume,1,"threat,abundance",1,NA
"Shepherd, CR; Eaton, JA; Chng, SCL","Nothing to laugh about - the ongoing illegal trade in laughingthrushes (Garrulax species) in the bird markets of Java, Indonesia",BIRD CONSERVATION INTERNATIONAL,2016,10.1017/S0959270916000320,9,aves,passeriformes,pet,1,20,145,USD,1,1,volume,1,threat,1,NA
"McNamara, J; Rowcliffe, M; Cowlishaw, G; Alexander, JS; Ntiamoa-Baidu, Y; Brenya, A; Milner-Gulland, EJ",Characterising Wildlife Trade Market Supply-Demand Dynamics,PLOS ONE,2016,10.1371/journal.pone.0162972,17,mammalia,NA,food,1,2.29,8.71,NA,0,1,volume,0,NA,0,NA
"Ahlers, AA; Heske, EJ; Miller, CA",Economic influences on trapper participation and per capita harvest of muskrat,WILDLIFE SOCIETY BULLETIN,2016,10.1002/wsb.696,1,mammalia,rodentia,product,1,NA,NA,USD,1,1,volume,0,NA,1,NA
"Castilla, JC; Espinosa, J; Yamashiro, C; Melo, O; Gelcich, S","TELECOUPLING BETWEEN CATCH, FARMING, AND INTERNATIONAL TRADE FOR THE GASTROPODS CONCHOLEPAS CONCHOLEPAS (LOCO) AND HALIOTIS SPP. (ABALONE)",JOURNAL OF SHELLFISH RESEARCH,2016,10.2983/035.035.0223,2,gastropoda,"neogastropoda,lepetellida",food,1,NA,NA,USD,1,1,volume,0,NA,0,NA
"Williams, VL; Moshoeu, TJ; Alexander, GJ","Reptiles sold as traditional medicine in Xipamanine and Xiquelene Markets (Maputo, Mozambique)",SOUTH AFRICAN JOURNAL OF SCIENCE,2016,10.17159/sajs.2016/20150416,10,reptilia,"crocodilia,squamata,testudines",medicinal,1,NA,NA,USD,0,1,pop_trend,1,"threat,pop_trend",0,NA
"McClenachan, L; Cooper, AB; Dulvy, NK",Rethinking Trade-Driven Extinction Risk in Marine and Terrestrial Megafauna,CURRENT BIOLOGY,2016,10.1016/j.cub.2016.05.026,129,"mammalia,reptilia,actinopterygii,chondrichthyes",NA,"food,medicinal,product",1,512,470000,USD,0,1,"conservation,range",1,"threat,range",0,NA
"Shepherd, CR; Nijman, V; Krishnasamy, K; Eaton, JA; Chng, SCL",Illegal trade pushing the Critically Endangered Black-winged Myna Acridotheres melanopterus towards imminent extinction,BIRD CONSERVATION INTERNATIONAL,2016,10.1017/S0959270915000106,1,aves,passeriformes,pet,1,12.5,34.82,USD,1,1,"volume,conservation,pop_trend",1,"threat,endemic,range",1,NA
"Greatorex, ZF; Olson, SH; Singhalath, S; Silithammavong, S; Khammavong, K; Fine, AE; Weisman, W; Douangngeun, B; Theppangna, W; Keatts, L; Gilbert, M; Karesh, WB; Hansel, T; Zimicki, S; O'Rourke, K; Joly, DO; Mazet, JAK",Wildlife Trade and Human Health in Lao PDR: An Assessment of the Zoonotic Disease Risk in Markets,PLOS ONE,2016,10.1371/journal.pone.0150666,NA,"mammalia,aves,reptilia","passeriformes,rodentia,squamata,chiroptera,galliformes,artiodactyla,carnivora,lagomorpha,psittaciformes,anseriformes,columbiformes,scandentia,primates,dermoptera","food,medicinal,product",1,40000,130000,Kip,0,1,conservation,1,threat,0,NA
"Lam, JTL; Koldewey, HJ; Yasue, M; Vincent, ACJ",Comparing interview and trade data in assessing changes in the seahorse Hippocampus spp. trade following CITES listing,ORYX,2016,10.1017/S0030605314000246,2,actinopterygii,syngnathiformes,medicinal,1,20,160,USD,1,1,volume,1,threat,0,NA
"Nijman, V; Zhang, MX; Shepherd, CR",Pangolin trade in the Mong La wildlife market and the role of Myanmar in the smuggling of pangolins into China,GLOBAL ECOLOGY AND CONSERVATION,2016,10.1016/j.gecco.2015.12.003,1,mammalia,pholidota,"medicinal,food",1,1875,1875,USD,0,1,volume,1,threat,0,NA
"Su, S; Cassey, P; Blackburn, TM",The wildlife pet trade as a driver of introduction and establishment in alien birds in Taiwan,BIOLOGICAL INVASIONS,2016,10.1007/s10530-015-1003-3,312,aves,NA,pet,0,NA,NA,NA,0,1,volume,0,NA,0,NA
"Atuo, FA; O'Connell, TJ; Abanyam, PU",An assessment of socio-economic drivers of avian body parts trade in West African rainforests,BIOLOGICAL CONSERVATION,2015,10.1016/j.biocon.2015.08.013,27,aves,"galliformes,columbiformes,cuculiformes,musophagiformes,pelecaniformes,strigiformes,accipitriformes,bucerotiformes,psittaciformes,passeriformes","product,pet,medicinal",1,0.4,11,USD,0,1,"volume,conservation,pop_trend",1,threat,0,NA
"Daut, EF; Brightsmith, DJ; Mendoza, AP; Puhakka, L; Peterson, MJ",Illegal domestic bird trade and the role of export quotas in Peru,JOURNAL FOR NATURE CONSERVATION,2015,10.1016/j.jnc.2015.06.005,130,aves,NA,pet,1,NA,NA,USD,0,1,"volume,conservation",1,threat,0,NA
"Challender, DWS; Harrop, SR; MacMillan, DC",Understanding markets to conserve trade-threatened species in CITES,BIOLOGICAL CONSERVATION,2015,10.1016/j.biocon.2015.04.015,1,mammalia,pholidota,"medicinal,food",1,46.92,759.15,USD,1,1,"volume,conservation",1,threat,1,NA
"Harris, JBC; Green, JMH; Prawiradilaga, DM; Giam, XL; Giyanto; Hikmatullah, D; Putra, CA; Wilcove, DS",Using market data and expert opinion to identify overexploited species in the wild bird trade,BIOLOGICAL CONSERVATION,2015,10.1016/j.biocon.2015.04.009,38,aves,NA,pet,1,NA,NA,NA,1,1,"volume,pop_trend,conservation",1,"threat,pop_trend",1,NA
"Su, S; Cassey, P; Vall-Llosera, M; Blackburn, TM",Going Cheap: Determinants of Bird Price in the Taiwanese Pet Market,PLOS ONE,2015,10.1371/journal.pone.0127482,247,aves,NA,pet,1,0.86,8000,USD,1,1,"volume,conservation,range,conservation",1,threat,1,NA
"Akani, GC; Amadi, N; Eniang, EA; Luiselli, L; Petrozzi, F","Are mammal communities occurring at a regional scale reliably represented in hub bushmeat markets? A case study with Bayelsa State (Niger Delta, Nigeria)",FOLIA ZOOLOGICA,2015,NA,21,mammalia,NA,food,1,850,80000,NGN,0,1,"volume,abundance",1,"abundance,threat",1,NA
"Oremus, M; Leqata, J; Baker, CS",Resumption of traditional drive hunting of dolphins in the Solomon Islands in 2013,ROYAL SOCIETY OPEN SCIENCE,2015,10.1098/rsos.140524,3,mammalia,artiodactyla,food,1,0.1,0.7,USD,1,1,volume,0,NA,0,NA
"Nielsen, MR; Meilby, H","Hunting and trading bushmeat in the Kilombero Valley, Tanzania: motivations, cost-benefit ratios and meat prices",ENVIRONMENTAL CONSERVATION,2015,10.1017/S0376892914000198,10,mammalia,NA,food,1,NA,NA,NA,0,0,NA,0,NA,0,NA
